audit_id,segment_id,segment,stage,company_count,core_count,audit_status,material_claims_to_test,source_hierarchy,cycle_check,kpi_check,audit_action
S01,eda_ip,EDA / IP / Design Enablement,Design stack,14,7,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"Seat growth, token/cloud usage, maintenance renewal, IP royalties, hardware emulation backlog, design services NRE, China/export-control exposure.","Advanced-node tape-outs, hyperscaler ASIC programs, foundry PDK releases, RPO/remaining performance obligations, emulation lead times, hiring in chip design teams.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S02,fabless_compute,Compute / AI / Logic Chips,Chip design,13,8,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"Datacenter revenue, accelerator ASP, HBM/CoWoS allocation, software/networking attach, cloud capex, product cadence, gross margin by platform.","Hyperscaler capex revisions, AI server lead times, HBM supply contracts, TSMC advanced-node mix, ODM backlog, accelerator benchmark adoption.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S03,mobile_rf_connectivity,Mobile / RF / Connectivity,Chip design,26,7,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"Handset units, premium mix, content per device, Android channel inventory, Apple content share, auto/IoT diversification, RF module integration.","Smartphone sell-through, Taiwan fabless monthly revenue, China Android launch calendar, Apple build plans, distributor inventory, panel shipments.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S04,networking_silicon,Networking Silicon / SerDes / Data Movement,Chip design,11,5,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"Port-speed transition, switch radix, retimer attach rate, optical DSP ASP, custom silicon wins, cloud capex and AI cluster topology.","800G/1.6T awards, Ethernet vs InfiniBand adoption, hyperscaler network architecture, Arista/Cisco order commentary, optical-module lead times.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S05,analog_power,Analog / Power / Mixed Signal,Chip design,25,14,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"Industrial/auto inventory, channel sell-through, book-to-bill, utilization, pricing, SiC capacity, AI server power content.","Distributor inventory days, auto production schedules, industrial PMI, EV inverter demand, data-center power density, lead times.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S06,memory_storage,Memory / Storage Semiconductors,Chip design / manufacturing,14,9,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"DRAM/NAND ASP, bit shipments, capex, inventory days, HBM qualification, enterprise SSD contract mix, storage nearline demand.","Spot/contract memory pricing, memory capex plans, HBM supply agreements, hyperscaler storage orders, China smartphone/PC demand, module channel inventory.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S07,foundry_idm,Foundry / IDM Manufacturing,Wafer manufacturing,12,8,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"Utilization, wafer ASP, node mix, depreciation, capex, customer concentration, geographic capacity, subsidies, advanced packaging attach.","Foundry monthly revenue, smartphone/PC sell-through, cloud ASIC tape-outs, WFE orders, fab utilization, node migration schedules.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S08,wfe,Semicap Equipment,Manufacturing enablement,27,14,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"WFE TAM, orders, backlog, China mix, service revenue, installed base, node transition intensity, memory vs logic capex.","TSMC/Samsung/Intel/Micron/SK capex, SEMI/WFE forecasts, equipment lead times, export-control updates, service growth.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S09,process_control_test,Process Control / Test / Metrology,Manufacturing enablement,20,10,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"Test time, probe card ASP, advanced-node process-control intensity, HBM/AI complexity, new tester platforms, consumables refresh.","AI/HBM product ramps, KLA/Advantest/Teradyne orders, OSAT capex, yield bottlenecks, new package qualification.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
S10,materials_wafers,Materials / Wafers / Chemicals / Gases,Manufacturing input,33,11,Taxonomy diligence-grade; company mapping requires row-level source check,function/products/value pool/cycle attributes/competition structure/upstream-downstream map,Primary industry sources for taxonomy; company filings/IR for company exposure; CIQ for financial and market data,"Fab utilization, wafer starts, qualification wins, advanced-node material intensity, LTAs, gas onsite contracts, raw-material costs.","Wafer shipments, fab utilization, WFE installation, foundry/memory capex, specialty gas pricing, EUV/advanced packaging material demand.","Validate segment definition against primary industry taxonomy, then sample Core names to confirm they belong in this segment before approving the full row set"
