audit_id,audit_round,audit_status,ticker,company,company_en,company_cn,exchange,country,region,listing_market,priority,segment_id,segment,identity_listing_check,business_description_check,segment_assignment_check,market_data_check,listing_refresh_flag,evidence_label_now,source_hierarchy,first_audit_action,source_hint,open_note
C001,Round 1 - source-pack audit before analyst use,Needs source check,SNPS,Synopsys,Synopsys,,NASDAQ,United States,North America,美股,Core,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,standard,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
C002,Round 1 - source-pack audit before analyst use,Needs source check,CDNS,Cadence Design Systems,Cadence Design Systems,,NASDAQ,United States,North America,美股,Core,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,standard,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
C003,Round 1 - source-pack audit before analyst use,Needs source check,ARM,Arm Holdings,Arm Holdings,,NASDAQ,United Kingdom,Europe,美股,Core,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,standard,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
C004,Round 2 - classification and business-description audit,Needs source check,301269.SZ,华大九天,Empyrean Technology,华大九天,SZSE,China,Asia,A股,Important,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,standard,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
C005,Round 1 - source-pack audit before analyst use,Needs source check,RMBS,Rambus,Rambus,,NASDAQ,United States,North America,美股,Core,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,standard,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
C006,Round 3 - universe hygiene / listing-status audit,Needs source check,CEVA,CEVA,CEVA,,NASDAQ,Israel,EMEA,美股,Watchlist,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,medium - watchlist identity and liquidity should be checked,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
C007,Round 1 - source-pack audit before analyst use,High priority refresh,ALCHIP,Alchip Technologies,Alchip Technologies,,TWSE,Taiwan,Asia,台股,Core,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,high - listing/deal/status note requires refresh,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",Ticker commonly 3661.TW; verify in CIQ.
C008,Round 1 - source-pack audit before analyst use,Needs source check,3443.TW,Global Unichip,Global Unichip,,TWSE,Taiwan,Asia,台股,Core,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,standard,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
C009,Round 2 - classification and business-description audit,Needs source check,3035.TW,Faraday Technology,Faraday Technology,,TWSE,Taiwan,Asia,台股,Important,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,standard,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
C010,Round 2 - classification and business-description audit,Needs source check,3529.TWO,eMemory Technology,eMemory Technology,,TPEx,Taiwan,Asia,台股,Important,eda_ip,EDA / IP / Design Enablement,CIQ security master + exchange/company IR ticker check,Latest annual report/10-K/20-F/IR company profile; confirm products and segment exposure,Reviewer to tie key_products/revenue_exposure to segment definition; label as inference until checked,ciq_refreshed,standard,inference / reported fact pending source tie-out,Tier 1 filings & company IR for facts; Tier 3 CIQ for market data/consensus; exchange for listing status,Confirm ticker/exchange/company identity; confirm business description; confirm segment assignment; refresh CIQ market-data fields,"Company filings/IR; exchange listing; CIQ refresh recommended; CIQ export refreshed 2026-06-22, mapping_status=matched, export_status=ok",
